title,description,content,source,publishedAt,text
House Homeland Security Chairman Mark Green to resign from Congress - CBS News,"The Tennessee Republican said he would leave ""as soon as the House votes once again on the reconciliation package.""","Washington — House Homeland Security Committee Chairman Mark Green, a Tennessee Republican, announced Monday that he plans to resign after Congress passes President Trump's budget bill. 
""Recently, … [+2077 chars]",CBS News,2025-06-09T22:21:13Z,househomelandsecuritychairmanmarkgreentoresignfromcongresscbsnewsthetennesseerepublicansaidhewouldleaveassoonasthehousevotesonceagainonthereconciliationpackagewashingtonhousehomelandsecuritycommitteechairmanmarkgreenatennesseerepublicanannouncedmondaythatheplanstoresignaftercongresspassespresidenttrumpsbudgetbillrecently2077chars
"Oilers at Panthers, Stanley Cup Final Game 3 preview - NHL.com",Nugent-Hopkins game-time decision for Edmonton; Florida looks to seize momentum at home,"SUNRISE, Fla. -- It took almost eight and a half periods to decide the first two games of the Stanley Cup Final between the Florida Panthers and Edmonton Oilers.
No one would be surprised if 60 minu… [+4791 chars]",NHL News,2025-06-09T21:55:52Z,oilersatpanthersstanleycupfinalgame3previewnhlcomnugenthopkinsgametimedecisionforedmontonfloridalookstoseizemomentumathomesunriseflaittookalmosteightandahalfperiodstodecidethefirsttwogamesofthestanleycupfinalbetweenthefloridapanthersandedmontonoilersnoonewouldbesurprisedif60minu4791chars
"Trump promotes $1,000 ‘Trump Accounts’ for newborns at White House event - CNN","President Donald Trump is set to host a roundtable at the White House on Monday to promote a key feature of the sweeping Republican domestic policy bill – a provision that would provide every American newborn with a $1,000 investment account, a White House of…",President Donald Trump hosted a roundtable at the White House on Monday to promote a key feature of the sweeping Republican domestic policy bill a provision that would provide every American newborn … [+2244 chars],CNN,2025-06-09T21:22:00Z,trumppromotes1000trumpaccountsfornewbornsatwhitehouseeventcnnpresidentdonaldtrumpissettohostaroundtableatthewhitehouseonmondaytopromoteakeyfeatureofthesweepingrepublicandomesticpolicybillaprovisionthatwouldprovideeveryamericannewbornwitha1000investmentaccountawhitehouseofpresidentdonaldtrumphostedaroundtableatthewhitehouseonmondaytopromoteakeyfeatureofthesweepingrepublicandomesticpolicybillaprovisionthatwouldprovideeveryamericannewborn2244chars
Pre-RIF Memo from Janet Petro: New NASA DRP Opportunity - NASA Watch,"Keith’s note: this went out to NASA employees today. You can jump or risk being pushed out of the airlock. Your choice. As always, Embrace the Challenge: “NASA has been preparing for a significant organizational realignment and restructuring under its Workfor…","Keith’s note: this went out to NASA employees today. You can jump or risk being pushed out of the airlock. Your choice. As always, Embrace the Challenge: “NASA has been preparing for a significant or… [+2546 chars]",Nasawatch.com,2025-06-09T21:21:37Z,prerifmemofromjanetpetronewnasadrpopportunitynasawatchkeithsnotethiswentouttonasaemployeestodayyoucanjumporriskbeingpushedoutoftheairlockyourchoiceasalwaysembracethechallengenasahasbeenpreparingforasignificantorganizationalrealignmentandrestructuringunderitsworkforkeithsnotethiswentouttonasaemployeestodayyoucanjumporriskbeingpushedoutoftheairlockyourchoiceasalwaysembracethechallengenasahasbeenpreparingforasignificantor2546chars
Channing Dungey To Remain With Studios & Streaming Post-WBD Split - Deadline,Channing Dungey (and maybe Brett Paul) will stay with Studios & Streaming post-WBD split. Few execs with dual responsibilities makes for clean break.,"One of Warner Bros Discovery’s top TV executives, Channing Dungey, who is Chairman and CEO, Warner Bros. Television Group and U.S. Networks, has found herself straddling the two sides of the company … [+2865 chars]",Deadline,2025-06-09T21:20:00Z,channingdungeytoremainwithstudiosstreamingpostwbdsplitdeadlinechanningdungeyandmaybebrettpaulwillstaywithstudiosstreamingpostwbdsplitfewexecswithdualresponsibilitiesmakesforcleanbreakoneofwarnerbrosdiscoverystoptvexecutiveschanningdungeywhoischairmanandceowarnerbrostelevisiongroupandusnetworkshasfoundherselfstraddlingthetwosidesofthecompany2865chars
"Disney Closes Hulu Deal With Comcast, Paying Billions Less Than NBCU Was Seeking - Variety",Disney closed its deal with Comcast to buy out NBCUniversal's one-third stake in Hulu -- paying much less than NBCU sought.,"After more than two years of haggling, Disney has finally closed its deal with Comcast to buy out NBCUniversal‘s one-third stake in Hulu — and Disney is paying much less than it would have if NBCU ha… [+3516 chars]",Variety,2025-06-09T20:33:00Z,disneycloseshuludealwithcomcastpayingbillionslessthannbcuwasseekingvarietydisneycloseditsdealwithcomcasttobuyoutnbcuniversalsonethirdstakeinhulupayingmuchlessthannbcusoughtaftermorethantwoyearsofhagglingdisneyhasfinallycloseditsdealwithcomcasttobuyoutnbcuniversalsonethirdstakeinhuluanddisneyispayingmuchlessthanitwouldhaveifnbcuha3516chars
Fantasy baseball: What to expect from Red Sox prospect Roman Anthony - ESPN,The Boston Red Sox have called up top prospect Roman Anthony. Should fantasy managers do whatever it takes to get him?,"Fantasy managers have anxiously waited for the Boston Red Sox to promote OF Roman Anthony, arguably the top prospect in the sport. They have finally gotten their wish, with the Red Sox placing starti… [+1410 chars]",ESPN,2025-06-09T20:30:00Z,fantasybaseballwhattoexpectfromredsoxprospectromananthonyespnthebostonredsoxhavecalleduptopprospectromananthonyshouldfantasymanagersdowhateverittakestogethimfantasymanagershaveanxiouslywaitedforthebostonredsoxtopromoteofromananthonyarguablythetopprospectinthesporttheyhavefinallygottentheirwishwiththeredsoxplacingstarti1410chars
Israel seized a Gaza-bound boat with Greta Thunberg on board. Can it do that? - AP News,"Israeli naval forces, far from the country’s shores, intercepted and seized a Gaza-bound ship carrying international activists, including Greta Thunberg, in an early morning raid. The operation sparked accusations that Israel’s actions, apparently in the high…","JERUSALEM (AP) Israeli naval forces, far from the countrys shores, intercepted and seized a Gaza-bound ship carrying international activists, including Greta Thunberg, in an early morning raid Monday… [+6336 chars]",Associated Press,2025-06-09T19:28:00Z,israelseizedagazaboundboatwithgretathunbergonboardcanitdothatapnewsisraelinavalforcesfarfromthecountrysshoresinterceptedandseizedagazaboundshipcarryinginternationalactivistsincludinggretathunberginanearlymorningraidtheoperationsparkedaccusationsthatisraelsactionsapparentlyinthehighjerusalemapisraelinavalforcesfarfromthecountrysshoresinterceptedandseizedagazaboundshipcarryinginternationalactivistsincludinggretathunberginanearlymorningraidmonday6336chars
U.S. FDA Approves Merck’s ENFLONSIA™ (clesrovimab-cfor) for Prevention of Respiratory Syncytial Virus (RSV) Lower Respiratory Tract Disease in Infants Born During or Entering Their First RSV Season - Merck.com,"ENFLONSIA is a preventive monoclonal antibody designed to protect infants against a spectrum of RSV disease severity, including worsening disease requiring hospitalization ENFLONSIA is the first and only RSV preventive option administered to infants using the…","June 9, 2025 3:11 pm ET 
RAHWAY, N.J.--(BUSINESS WIRE)-- 
Merck (NYSE: MRK), known as MSD outside of the United States and Canada, today announced the U.S. Food and Drug Administration (FDA) has ap… [+11553 chars]",Merck.com,2025-06-09T19:11:00Z,usfdaapprovesmercksenflonsiaclesrovimabcforforpreventionofrespiratorysyncytialvirusrsvlowerrespiratorytractdiseaseininfantsbornduringorenteringtheirfirstrsvseasonmerckcomenflonsiaisapreventivemonoclonalantibodydesignedtoprotectinfantsagainstaspectrumofrsvdiseaseseverityincludingworseningdiseaserequiringhospitalizationenflonsiaisthefirstandonlyrsvpreventiveoptionadministeredtoinfantsusingthejune92025311pmetrahwaynjbusinesswiremercknysemrkknownasmsdoutsideoftheunitedstatesandcanadatodayannouncedtheusfoodanddrugadministrationfdahasap11553chars
Families of missing Ukrainians gather as prisoner exchange begins - BBC,"The prisoners of war being exchanged are wounded or under 25 years old, President Zelensky says.","Paul AdamsReporting from Chernihiv region
People seeking information about the fate of their loved ones awaited any shred of information from returning prisoners of war
The families of missing Ukra… [+4768 chars]",BBC News,2025-06-09T18:32:34Z,familiesofmissingukrainiansgatherasprisonerexchangebeginsbbctheprisonersofwarbeingexchangedarewoundedorunder25yearsoldpresidentzelenskysayspauladamsreportingfromchernihivregionpeopleseekinginformationaboutthefateoftheirlovedonesawaitedanyshredofinformationfromreturningprisonersofwarthefamiliesofmissingukra4768chars
"NCAA vs. House settled, what does it mean for Bison athletics? - InForum",North Dakota State will have six days to decide whether to 'opt in' or 'opt out' of billion-dollar settlement.,"FARGO The House vs. NCAA settlement that was finally OKd by a federal judge in California last Friday was a maze of lawsuits involving billions of dollars. For many fans, it was so complicated that t… [+3077 chars]",INFORUM,2025-06-09T18:19:33Z,ncaavshousesettledwhatdoesitmeanforbisonathleticsinforumnorthdakotastatewillhavesixdaystodecidewhethertooptinoroptoutofbilliondollarsettlementfargothehousevsncaasettlementthatwasfinallyokdbyafederaljudgeincalifornialastfridaywasamazeoflawsuitsinvolvingbillionsofdollarsformanyfansitwassocomplicatedthatt3077chars
"Apple AirPods get new features, including studio-quality audio and a camera remote, at WWDC 2025 - TechCrunch","Apple's AirPods are getting a couple of new features and gestures, the Cupertino-based tech company announced at its Worldwide Developers Conference (WWDC) on Monday.","Apple’s AirPods are getting a couple of new features and gestures, the Cupertino-based tech company announced at its WWDC 2025 event on Monday.
While leaks suggested more gestures and other addition… [+941 chars]",TechCrunch,2025-06-09T18:03:42Z,appleairpodsgetnewfeaturesincludingstudioqualityaudioandacameraremoteatwwdc2025techcrunchapplesairpodsaregettingacoupleofnewfeaturesandgesturesthecupertinobasedtechcompanyannouncedatitsworldwidedevelopersconferencewwdconmondayapplesairpodsaregettingacoupleofnewfeaturesandgesturesthecupertinobasedtechcompanyannouncedatitswwdc2025eventonmondaywhileleakssuggestedmoregesturesandotheraddition941chars
